5	1.4569e-26
5.27206	1.31801e-26
5.55892	1.20755e-26
5.86139	1.11943e-26
6.18032	1.04918e-26
6.51661	9.93402e-27
6.87119	9.49562e-27
7.24506	9.15731e-27
7.63928	8.9043e-27
8.05495	8.72547e-27
8.49323	8.61217e-27
8.95537	8.55796e-27
9.44264	8.55806e-27
9.95644	8.60899e-27
10.4982	8.70928e-27
11.0694	8.85687e-27
11.6717	9.0512e-27
12.3068	9.29244e-27
12.9764	9.58148e-27
13.6825	9.91979e-27
14.427	1.03095e-26
15.212	1.07533e-26
16.0397	1.12543e-26
16.9125	1.18165e-26
17.8327	1.24443e-26
18.803	1.31427e-26
19.8261	1.39179e-26
20.9049	1.4776e-26
22.0424	1.57258e-26
23.2417	1.6774e-26
24.5064	1.79307e-26
25.8398	1.92036e-26
27.2458	2.06041e-26
28.7283	2.21473e-26
30.2915	2.38462e-26
31.9397	2.57179e-26
33.6776	2.77799e-26
35.51	3.00507e-26
37.4422	3.25527e-26
39.4795	3.53096e-26
41.6277	3.83464e-26
43.8927	4.16944e-26
46.281	4.53876e-26
48.7992	4.94594e-26
51.4545	5.39476e-26
54.2542	5.88966e-26
57.2063	6.43605e-26
60.319	7.03895e-26
63.6011	7.70471e-26
67.0617	8.43998e-26
70.7107	9.25254e-26
74.5582	1.01506e-25
78.615	1.11425e-25
82.8926	1.22396e-25
87.403	1.34522e-25
92.1587	1.47933e-25
97.1733	1.6275e-25
102.461	1.79156e-25
108.036	1.97312e-25
113.914	2.17416e-25
120.112	2.39672e-25
126.648	2.64319e-25
133.539	2.9162e-25
140.805	3.2186e-25
148.467	3.55386e-25
156.545	3.92496e-25
165.063	4.33611e-25
174.044	4.79196e-25
183.515	5.29727e-25
193.5	5.85773e-25
204.029	6.47922e-25
215.13	7.16853e-25
226.836	7.93322e-25
239.178	8.78164e-25
252.193	9.72219e-25
265.915	1.07665e-24
280.384	1.19247e-24
295.64	1.32081e-24
311.726	1.46344e-24
328.688	1.62169e-24
346.572	1.79736e-24
365.43	1.99235e-24
385.314	2.20887e-24
406.279	2.44924e-24
428.386	2.71612e-24
451.695	3.01242e-24
476.273	3.34144e-24
502.188	3.70733e-24
529.513	4.11305e-24
558.325	4.56376e-24
588.704	5.06417e-24
620.737	5.62015e-24
654.512	6.23783e-24
690.125	6.92402e-24
727.676	7.68604e-24
767.27	8.53274e-24
809.019	9.47341e-24
853.039	1.05187e-23
899.455	1.16801e-23
948.396	1.29708e-23
1000	1.44046e-23
